PrimaryKey,Index Value
458.0,50659
459.0,50769
460.0,50909
461.0,51020
462.0,51192
463.0,51308
464.0,51425
465.0,51547
466.0,51663
467.0,51782
468.0,51928
469.0,52029
470.0,52119
471.0,52221
472.0,52319
473.0,52442
474.0,52559
475.0,52662
476.0,52806
477.0,52939
478.0,53099
479.0,53229
480.0,53330
481.0,53442
482.0,53545
483.0,53677
484.0,53798
485.0,53913
486.0,54034
487.0,54172
488.0,54267
489.0,54376
490.0,54476
491.0,54680
492.0,54784
493.0,54882
494.0,54984
495.0,55131
496.0,55256
497.0,55364
498.0,55471
499.0,55572
500.0,55662
501.0,55762
502.0,55891
503.0,55999
504.0,56094
505.0,56194
506.0,56279
507.0,56381
508.0,56506
509.0,56611
510.0,56744
511.0,56872
512.0,57022
513.0,57131
514.0,57290
515.0,57424
516.0,57538
517.0,57641
518.0,57769
519.0,57889
520.0,58004
521.0,58114
522.0,58241
523.0,58356
524.0,58451
525.0,58552
526.0,58668
527.0,58782
528.0,58902
529.0,59009
530.0,59113
531.0,59197
532.0,59314
533.0,59435
534.0,59532
535.0,59642
536.0,59753
537.0,59887
538.0,60018
539.0,60155
540.0,60252
541.0,60390
542.0,60490
543.0,60583
544.0,60698
545.0,60781
546.0,60889
547.0,60981
548.0,61086
549.0,61184
550.0,61318
551.0,61432
552.0,61529
553.0,61676
554.0,61761
555.0,61904
556.0,61999
557.0,62122
558.0,62212
559.0,62325
560.0,62420
561.0,62518
562.0,62626
563.0,62730
564.0,62811
565.0,62899
566.0,63001
567.0,63109
568.0,63229
569.0,63322
570.0,63435
571.0,63547
572.0,63653
573.0,63794
574.0,63887
575.0,63997
576.0,64110
577.0,64216
578.0,64321
579.0,64432
580.0,64548
581.0,64642
582.0,64741
583.0,64885
584.0,64985
585.0,65098
586.0,65221
587.0,65325
588.0,65414
589.0,65537
590.0,65651
591.0,65790
592.0,65909
593.0,66014
594.0,66130
595.0,66260
596.0,66348
597.0,66455
598.0,66588
599.0,66706
600.0,66821
601.0,66931
602.0,67050
603.0,67142
604.0,67234
605.0,67342
606.0,67444
607.0,67556
608.0,67656
609.0,67765
610.0,67863
611.0,67994
612.0,68116
613.0,68235
614.0,68354
615.0,68465
616.0,68591
617.0,68726
618.0,68827
619.0,68909
620.0,69004
621.0,69105
622.0,69244
623.0,69360
624.0,69460
625.0,69585
626.0,69704
627.0,69819
628.0,69932
629.0,70031
630.0,70164
631.0,70270
632.0,70364
633.0,70507
634.0,70620
635.0,70694
636.0,70804
637.0,70907
638.0,71003
639.0,71083
640.0,71205
641.0,71307
642.0,71447
643.0,71547
644.0,71650
645.0,71770
646.0,71915
647.0,72022
648.0,72159
649.0,72257
650.0,72365
651.0,72463
652.0,72593
653.0,72678
654.0,72811
655.0,72939
656.0,73058
657.0,73139
658.0,73254
659.0,73345
660.0,73456
661.0,73610
662.0,73721
663.0,73854
664.0,73998
665.0,74183
666.0,74281
667.0,74397
668.0,74483
669.0,74604
670.0,74740
671.0,74834
672.0,74960
673.0,75081
674.0,75194
675.0,75299
676.0,75420
677.0,75567
678.0,75674
679.0,75773
680.0,75889
681.0,76011
682.0,76133
683.0,76242
684.0,76337
685.0,76444
686.0,76541
687.0,76654
688.0,76753
689.0,76907
690.0,76995
691.0,77108
692.0,77194
693.0,77292
694.0,77427
695.0,77517
696.0,77610
697.0,77728
698.0,77829
699.0,77944
700.0,78044
701.0,78153
702.0,78258
703.0,78378
704.0,78491
705.0,78632
706.0,78758
707.0,78854
